Rainfall - (MM), Year, Statistics, Country, ISO3
61.5, 2006, Jul Average, Russia, RUS
66.2, 2006, Aug Average, Russia, RUS
51.7, 2006, Sep Average, Russia, RUS
42.5, 2006, Oct Average, Russia, RUS
37.5, 2006, Nov Average, Russia, RUS
27.8, 2006, Dec Average, Russia, RUS
28.4, 2007, Jan Average, Russia, RUS
18.0, 2007, Feb Average, Russia, RUS
18.3, 2007, Mar Average, Russia, RUS
23.0, 2007, Apr Average, Russia, RUS
44.1, 2007, May Average, Russia, RUS
57.1, 2007, Jun Average, Russia, RUS
69.4, 2007, Jul Average, Russia, RUS
65.5, 2007, Aug Average, Russia, RUS
48.0, 2007, Sep Average, Russia, RUS
35.4, 2007, Oct Average, Russia, RUS
30.9, 2007, Nov Average, Russia, RUS
25.2, 2007, Dec Average, Russia, RUS
20.0, 2008, Jan Average, Russia, RUS
20.1, 2008, Feb Average, Russia, RUS
24.7, 2008, Mar Average, Russia, RUS
24.7, 2008, Apr Average, Russia, RUS
32.8, 2008, May Average, Russia, RUS
51.5, 2008, Jun Average, Russia, RUS
70.0, 2008, Jul Average, Russia, RUS
66.6, 2008, Aug Average, Russia, RUS
48.0, 2008, Sep Average, Russia, RUS
40.3, 2008, Oct Average, Russia, RUS
34.5, 2008, Nov Average, Russia, RUS
29.1, 2008, Dec Average, Russia, RUS
21.6, 2009, Jan Average, Russia, RUS
17.7, 2009, Feb Average, Russia, RUS
20.0, 2009, Mar Average, Russia, RUS
22.2, 2009, Apr Average, Russia, RUS
36.9, 2009, May Average, Russia, RUS
50.5, 2009, Jun Average, Russia, RUS
65.6, 2009, Jul Average, Russia, RUS
64.9, 2009, Aug Average, Russia, RUS
44.9, 2009, Sep Average, Russia, RUS
40.0, 2009, Oct Average, Russia, RUS
28.5, 2009, Nov Average, Russia, RUS
26.6, 2009, Dec Average, Russia, RUS
20.9, 2010, Jan Average, Russia, RUS
15.4, 2010, Feb Average, Russia, RUS
21.4, 2010, Mar Average, Russia, RUS
19.4, 2010, Apr Average, Russia, RUS
35.6, 2010, May Average, Russia, RUS
56.8, 2010, Jun Average, Russia, RUS
61.1, 2010, Jul Average, Russia, RUS
64.1, 2010, Aug Average, Russia, RUS
48.7, 2010, Sep Average, Russia, RUS
35.9, 2010, Oct Average, Russia, RUS
37.8, 2010, Nov Average, Russia, RUS
30.8, 2010, Dec Average, Russia, RUS
20.8, 2011, Jan Average, Russia, RUS
16.9, 2011, Feb Average, Russia, RUS
19.3, 2011, Mar Average, Russia, RUS
25.6, 2011, Apr Average, Russia, RUS
31.3, 2011, May Average, Russia, RUS
52.5, 2011, Jun Average, Russia, RUS
65.5, 2011, Jul Average, Russia, RUS
64.3, 2011, Aug Average, Russia, RUS
51.0, 2011, Sep Average, Russia, RUS
40.0, 2011, Oct Average, Russia, RUS
29.2, 2011, Nov Average, Russia, RUS
23.8, 2011, Dec Average, Russia, RUS
18.2, 2012, Jan Average, Russia, RUS
14.5, 2012, Feb Average, Russia, RUS
18.1, 2012, Mar Average, Russia, RUS
31.3, 2012, Apr Average, Russia, RUS
36.2, 2012, May Average, Russia, RUS
51.3, 2012, Jun Average, Russia, RUS
61.0, 2012, Jul Average, Russia, RUS
69.5, 2012, Aug Average, Russia, RUS
50.3, 2012, Sep Average, Russia, RUS
43.5, 2012, Oct Average, Russia, RUS
31.9, 2012, Nov Average, Russia, RUS
24.4, 2012, Dec Average, Russia, RUS
20.1, 2013, Jan Average, Russia, RUS
15.9, 2013, Feb Average, Russia, RUS
23.3, 2013, Mar Average, Russia, RUS
24.7, 2013, Apr Average, Russia, RUS
39.9, 2013, May Average, Russia, RUS
52.4, 2013, Jun Average, Russia, RUS
65.7, 2013, Jul Average, Russia, RUS
64.2, 2013, Aug Average, Russia, RUS
50.3, 2013, Sep Average, Russia, RUS
42.2, 2013, Oct Average, Russia, RUS
37.0, 2013, Nov Average, Russia, RUS
29.0, 2013, Dec Average, Russia, RUS
22.4, 2014, Jan Average, Russia, RUS
18.1, 2014, Feb Average, Russia, RUS
21.5, 2014, Mar Average, Russia, RUS
24.2, 2014, Apr Average, Russia, RUS
39.0, 2014, May Average, Russia, RUS
56.8, 2014, Jun Average, Russia, RUS
65.3, 2014, Jul Average, Russia, RUS
61.6, 2014, Aug Average, Russia, RUS
42.4, 2014, Sep Average, Russia, RUS
38.9, 2014, Oct Average, Russia, RUS
28.6, 2014, Nov Average, Russia, RUS
27.0, 2014, Dec Average, Russia, RUS
25.2, 2015, Jan Average, Russia, RUS
19.9, 2015, Feb Average, Russia, RUS
19.4, 2015, Mar Average, Russia, RUS
27.9, 2015, Apr Average, Russia, RUS
35.3, 2015, May Average, Russia, RUS
53.1, 2015, Jun Average, Russia, RUS
67.4, 2015, Jul Average, Russia, RUS
61.3, 2015, Aug Average, Russia, RUS
43.4, 2015, Sep Average, Russia, RUS
40.8, 2015, Oct Average, Russia, RUS
30.3, 2015, Nov Average, Russia, RUS
30.5, 2015, Dec Average, Russia, RUS
22.1, 2016, Jan Average, Russia, RUS
22.7, 2016, Feb Average, Russia, RUS
19.8, 2016, Mar Average, Russia, RUS
25.4, 2016, Apr Average, Russia, RUS
37.2, 2016, May Average, Russia, RUS
49.2, 2016, Jun Average, Russia, RUS
66.7, 2016, Jul Average, Russia, RUS
69.4, 2016, Aug Average, Russia, RUS
42.0, 2016, Sep Average, Russia, RUS
30.2, 2016, Oct Average, Russia, RUS
30.6, 2016, Nov Average, Russia, RUS
27.8, 2016, Dec Average, Russia, RUS
22.2, 2017, Jan Average, Russia, RUS
19.8, 2017, Feb Average, Russia, RUS
19.7, 2017, Mar Average, Russia, RUS
29.8, 2017, Apr Average, Russia, RUS
39.6, 2017, May Average, Russia, RUS
55.6, 2017, Jun Average, Russia, RUS
68.1, 2017, Jul Average, Russia, RUS
62.4, 2017, Aug Average, Russia, RUS
50.5, 2017, Sep Average, Russia, RUS
38.5, 2017, Oct Average, Russia, RUS
34.5, 2017, Nov Average, Russia, RUS
30.2, 2017, Dec Average, Russia, RUS
23.2, 2018, Jan Average, Russia, RUS
17.8, 2018, Feb Average, Russia, RUS
25.0, 2018, Mar Average, Russia, RUS
26.0, 2018, Apr Average, Russia, RUS
34.3, 2018, May Average, Russia, RUS
47.8, 2018, Jun Average, Russia, RUS
63.6, 2018, Jul Average, Russia, RUS
59.9, 2018, Aug Average, Russia, RUS
51.7, 2018, Sep Average, Russia, RUS
42.0, 2018, Oct Average, Russia, RUS
31.5, 2018, Nov Average, Russia, RUS
23.7, 2018, Dec Average, Russia, RUS
23.4, 2019, Jan Average, Russia, RUS
21.5, 2019, Feb Average, Russia, RUS
22.7, 2019, Mar Average, Russia, RUS
22.1, 2019, Apr Average, Russia, RUS
38.9, 2019, May Average, Russia, RUS
49.7, 2019, Jun Average, Russia, RUS
67.6, 2019, Jul Average, Russia, RUS
58.3, 2019, Aug Average, Russia, RUS
49.5, 2019, Sep Average, Russia, RUS
46.2, 2019, Oct Average, Russia, RUS
31.3, 2019, Nov Average, Russia, RUS
28.6, 2019, Dec Average, Russia, RUS
26.3, 2020, Jan Average, Russia, RUS
22.4, 2020, Feb Average, Russia, RUS
27.0, 2020, Mar Average, Russia, RUS
22.5, 2020, Apr Average, Russia, RUS
42.8, 2020, May Average, Russia, RUS
50.5, 2020, Jun Average, Russia, RUS
70.0, 2020, Jul Average, Russia, RUS
55.9, 2020, Aug Average, Russia, RUS
44.5, 2020, Sep Average, Russia, RUS
39.7, 2020, Oct Average, Russia, RUS
32.5, 2020, Nov Average, Russia, RUS
22.1, 2020, Dec Average, Russia, RUS
