,,"Number of commercial bank branches per 1,000 km2","Number of credit union and credit cooperative branches per 1,000 km2","Number of all microfinance institution branches per 1,000 km2","Number of commercial bank branches per 100,000 adults","Number of credit union and credit cooperative branches per 100,000 adults","Number of all microfinance institution branches per 100,000 adults","Number of ATMs per 1,000 km2","Number of ATMs per 100,000 adults","Mobile money agent outlets: active per 100,000 adults","Mobile money agent outlets: active per 1,000 km2","Number of registered mobile money agent outlets per 100,000 adults","Number of registered mobile money agent outlets per 1,000 km2","Number of non-branch retail agent outlets of commercial banks per 1,000 km2","Number of non-branch retail agent outlets of commercial banks per 100,000 adults","Number of insurance corporations per 100,000 adults","Branches of other deposit takers per 1,000 km2","Branches of other deposit takers per 100,000 adults","Number of depositors with commercial banks per 1,000 adults",Number of small and medium enterprise (SME) depositors with commercial banks (% of non-financial corporation depositors with commercial banks),"Number of household sector depositors with commercial banks per 1,000 adults","Number of male depositors of the household sector with commercial banks per 1,000 male adults","Number of female depositors of the household sector with commercial banks per 1,000 female adults","Number of depositors with credit unions and credit cooperatives per 1,000 adults","Number of deposit accounts with commercial banks per 1,000 adults",Number of small and medium enterprise (SME) deposit accounts with commercial banks (% of non-financial corporation deposit accounts with commercial banks),"Number of household sector deposit accounts with commercial banks per 1,000 adults","Number of men-owned deposit accounts of the household sector with commercial banks per 1,000 male adults","Number of women-owned deposit accounts of the household sector with commercial banks per 1,000 female adults","Number of deposit accounts with credit unions and credit cooperatives per 1,000 adults","Number of borrowers from commercial banks per 1,000 adults",Number of small and medium enterprise (SME) borrowers from commercial banks (% of non-financial corporation borrowers from commercial banks),"Number of household sector borrowers from commercial banks per 1,000 adults","Number of male borrowers of the household sector from commercial banks per 1,000 male adults","Number of female borrowers of the household sector from commercial banks per 1,000 female adults","Number of borrowers from credit unions and credit cooperatives per 1,000 adults","Number of borrowers from all microfinance institutions per 1,000 adults","Number of male borrowers of the household sector from all microfinance institutions per 1,000 male adults","Number of female borrowers of  the household sector from all microfinance institutions per female 1,000 adults","Number of loan accounts with commercial banks per 1,000 adults",Number of small and medium enterprise (SME) loan accounts with commercial banks (% of non-financial corporation loan accounts with commercial banks),"Number of household sector loan accounts with commercial banks per 1,000 adults","Number of men-owned loan accounts of the household sector with commercial banks per 1,000 male adults","Number of women-owned loan accounts of the household sector with commercial banks per 1,000 female adults","Number of loan accounts with credit unions and credit cooperatives per 1,000 adults","Number of loan accounts with all microfinance institutions per 1,000 adults","Number of men-owned loan accounts of the household sector with all microfinance institutions per 1,000 male adults","Number of women-owned loan accounts of the household sector with all microfinance institutions per 1,000 female adults",Outstanding deposits with commercial banks (% of GDP),Outstanding small and medium enterprise (SME) deposits with commercial banks (% of GDP),Outstanding deposits of household sector with commercial banks (% of GDP),Outstanding deposits with credit unions and credit cooperatives (% of GDP),Outstanding loans from commercial banks (% of GDP),Outstanding small and medium enterprise (SME) loans from commercial banks (% of GDP),Outstanding loans from commercial banks to household sector (% of GDP),Outstanding loans from credit unions and credit cooperatives (% of GDP),Outstanding loans from all microfinance institutions (% of GDP),"Number of registered mobile money accounts per 1,000 adults","Number of active mobile money accounts per 1,000 adults",Outstanding balances on active mobile money accounts (% of GDP),"Number of mobile money transactions (during the reference year) per 1,000 adults",Value of mobile money transactions (during the reference year) (% of GDP),"Number of credit cards per 1,000 adults","Number of debit cards per 1,000 adults","Number of mobile and internet banking transactions (during the reference year) per 1,000 adults",Value of mobile and internet banking transactions (during the reference year) (% of GDP),"Number of life insurance policies per 1,000 adults",Policies with insurance corporations: o/w non-life insurance,Average number of mobile money transactions per active mobile money account
,2013,19.89,,,23.49,,,30,35.43,,,,,,,0.47,,,,,,,,,,,,,,,145.87,,,,,,,,,,,,,,,,,,72.17,,64.26,0.2,39.4,,10.62,0.32,,,,,,,27.77,319.42,139.07,7.49,,,
,2014,18.8,,,22.07,,,29.6,34.75,,,,,,,0.43,,,,,,,,,,,,,,,154.13,,,,,,,,,,,,,,,,,,72.9,,63.46,0.26,39.02,,10.39,0.34,,,,,,,31.62,333.02,535.3,11.79,,,
,2015,18.83,,,22.02,,,30.15,35.26,9.18,7.85,9.18,7.85,,,0.43,,,,,,,,,,,,,,,148.1,,,,,,,,,,,,,,,,,,72.46,,62.98,0.27,36.91,9.36,10.85,0.33,,65.19,65.19,0,28.84,0.01,34.63,352.67,599.28,19.71,,,0.44
,2016,18.58,4.53,,21.68,5.28,,29.2,34.08,13.08,11.2,13.08,11.2,,,0.47,,,"1,128.93",57.9,"1,076.42","1,103.54","1,048.79",6.26,"1,767.88",59.43,"1,677.92","1,696.63","1,658.89",7.29,162.67,80.06,153.49,143.11,164.08,9.21,,,,232.3,76.34,215.72,166.13,266.27,9.23,,,,72.8,,62.04,0.34,36.01,10.17,10.88,0.37,,114.35,114.35,0,106.75,0.03,36.61,371.31,763.4,23.33,,,0.93
,2017,17.81,4.82,,20.72,5.6,,27.26,31.71,31.59,27.15,31.59,27.15,,,0.47,,,"1,122.23",59.24,"1,068.68","1,227.65",906.5,6.78,"1,565.90",58.49,"1,482.91","1,725.65","1,235.27",11.46,144.05,46.19,134,156.33,111.23,9.57,,,,165.87,49.48,152.64,178.34,126.42,9.57,,,,69.96,,59.43,0.4,34.41,9.45,10.91,0.41,,,,,437.45,0.17,40.89,388.09,961.02,35.48,,,
,2018,16.82,3.8,,19.54,4.41,,26.39,30.64,53.61,46.17,53.61,46.17,,,0.47,,,"1,051.96",57.84,996.1,"1,064.34",926.46,7.09,"1,449.72",56.61,"1,362.04","1,566.51","1,153.37",13.31,141.38,50.72,132.87,150.24,115.14,10.06,,,,164.77,50.94,152.87,173.34,131.98,10.06,,,,66.79,,56.39,0.44,31.37,8.97,10.7,0.44,,2.49,2.49,0,754.34,0.28,44.68,404.65,"1,233.93",54.15,,,303.51
,2019,16.09,4.45,,18.71,5.17,,25.8,29.99,61.16,52.63,61.16,52.63,,,0.51,,,"1,094.85",56.48,"1,031.29","1,166.38",893.39,7.65,"1,573.79",56.96,"1,478.03","1,676.70","1,275.24",14.92,141.41,42.93,132.36,148.1,116.29,9.91,,,,170.59,47.28,158.15,177.18,138.72,9.93,,,,68.83,4.49,58.23,0.5,32.53,9.72,11.07,0.47,,3.6,3.6,0,"1,180.36",0.46,48.26,435.01,"1,537.02",57.2,,,328
Algeria,2010,0.56,,,5.06,,,0.65,5.92,,,,,,,0.06,1.44,13.08,,,,,,,502.02,,,,,,34.6,,,,,,,,,43.19,,,,,,,,,44.99,,,,27.24,,,,,,,,,,,,,,,,
,2011,0.58,,,5.18,,,0.68,6.1,,,,,,,0.09,1.34,12,,,,,,,516.89,,,,,,39.08,,,,,,,,,50.05,,,,,,,,,43.07,,,,25.53,,,,,,,,,,,,,,,,
,2012,0.59,,,5.23,,,0.7,6.21,,,,,,,0.09,1.38,12.14,,,,,,,547.15,,,,,,42.58,,,,,,,,,53.37,,,,,,,,,41.27,,,,26.44,,,,,,,,,,,15.22,,,,,
,2013,0.6,,,5.22,,,0.75,6.51,,,,,,,0.08,1.44,12.44,,,,,,,559.08,,,,,,45.02,,,,,,,,,56.58,,,,,,,,,43.42,,,,30.96,,,,,,,,,,,23.69,,,,,
,2014,0.61,,,5.21,,,0.89,7.61,,,,,,,0.08,1.48,12.65,,,,,,,574.24,,,,,,42.54,,,,,,,,,47.8,,,,,,,,,49.44,,,,37.74,,,,,,,,,,,24.11,,,,,
,2015,0.63,,,5.26,,,0.99,8.35,,,,,,,0.08,1.51,12.66,,,,,,,560.91,,,,,,44.24,,,,,,,,,53.87,,,,,,,,,49.87,,,,43.53,,,,,,,,,,,18.57,,,,,
,2016,0.63,,,5.25,,,1.03,8.57,,,,,,,0.08,1.53,12.72,,,,,,,545.37,,,,,,39.19,,,,,,,,,50.92,,,,,,,,,46.48,,,,45.15,,,,,,,,,,,25.36,,,,,
,2017,0.64,,,5.22,,,1.12,9.13,,,,,,,0.08,1.57,12.85,,,,,,,523.68,,,,,,40.64,,,,,,,,,47.38,,,,,,,,,49.57,,,,47.79,,,,,,,,,,,17.41,,,,,
,2018,0.65,,,5.22,,,1.18,9.54,,,,,,,0.08,1.6,12.92,,,,,,,520.28,,,,,,45.18,,,,,,,,,54.84,,,,,,,,,49.92,,,,49.23,,,,,,,,,,,21.91,,,,,
,2019,0.66,,,5.23,,,1.21,9.64,,,,,,,0.08,1.62,12.92,,,,,,,551.99,,,,,,50.33,,,,,,,,,59.69,,,,,,,,,48.52,,,,53.51,,,,,,,,,,,24.2,,,,,
Angola,2010,0.74,,,7.41,,,1.03,10.42,,,,,,,0.08,,,,,,260.2,102.8,,,,,352.55,104.65,,,,,,,,,,,,,,,,,,,,34.56,,,,34.26,19.6,,,,,,,,,1.55,139.55,,,3.05,"747,497.19",
,2011,0.86,,,8.37,,,1.31,12.72,,,,,,,0.09,,,,,,424.82,182.56,,,,,554.92,229.95,,,,,,,,,,,,,,,,,,,,34.25,,,,33.63,18.64,,,,,,,,,2.07,162.76,,,3.53,"915,277.41",
,2012,0.96,,,9.04,,,1.62,15.19,,,,,,,0.1,,,,,,509.14,215.94,,,,,647.24,272.9,,,,,,,,,,,,,,,,,,,,32.33,,,,29.51,16.63,,,,,,,,,3.37,199.2,,,1.9,"867,527.85",
,2013,1.12,,0.03,10.15,,0.31,1.87,16.99,,,,,,,0.11,,,,,,584.53,245.87,,,,,739.83,318.96,,13.92,,13.5,,,,1.47,,,16.31,,15.68,,,,,,,35.18,,9.66,,22.24,,4.35,,0.05,,,,,,3.15,251.63,,,1.22,"968,854.24",
,2014,1.16,,0.04,10.19,,0.36,2.08,18.19,,,,,,,0.12,,,,,,657.46,271.64,,,,,865.63,403.15,,15.89,,15.17,,,,1.65,,,17.91,,16.96,,,,,,,37.36,,10.62,,22.33,,5.36,,0.07,,,,,,3.72,258.64,,,1.55,"981,817.78",
,2015,1.23,,0.05,10.44,,0.41,2.23,18.82,,,0.96,0.11,,,0.12,,,,,,691.26,312.34,,,,,874.1,394.75,,16.79,,15.82,,,,1.76,,,18.11,,16.91,,,,,,,43.79,,12.01,,25.76,,5.16,,0.06,0.14,,,2.31,0,3.55,343.27,,,1.05,"825,385.36",
,2016,1.26,,0.05,10.29,,0.41,2.33,19.06,,,1,0.12,,,0.16,,,,,,738.91,340.89,,,,,"1,014.30",430.85,,18.17,,16.8,,,,2.75,,,19.29,,17.79,,,,,,,42.44,,10.8,,21.87,,3.28,,0.03,0.06,,,2.23,0,4.09,356.95,,,0.79,"602,171.57",
,2017,1.31,0,0.08,10.29,0.03,0.59,2.43,19.13,,,2.6,0.33,,,0.16,,,,,,792,388.04,,,,,"1,114.26",450.3,,22.76,100,22.47,21.16,23.73,0,1.82,,,26.76,100,25.97,41.18,13.62,,,,,36.17,5.95,9.26,,17.85,3,2.4,0,0.02,8.35,,,40.21,0.02,3.37,370.51,,,0.58,"549,326.57",
,2018,1.25,0,0.07,9.49,0.02,0.52,2.49,18.92,,,3.49,0.46,,,0.16,,,,,,799.19,389.7,,,,,"1,102.40",461.18,,20.06,100,19.74,18.45,20.98,,,,,24.06,100,23.24,35.66,12.39,,,,,36.67,4.76,10.38,,16.2,2.97,2.28,,,9.23,,,164.1,0.1,3.44,389.96,340.73,0.98,,,
,2019,1.29,0,0.07,9.45,0.02,0.49,2.51,18.4,1.04,0.14,1.04,0.14,,,0.14,,,,,,860.42,442.57,0.01,,,,"1,101.80",505.07,0.01,,,,,,0,,,,,,,,,0,,,,34.01,,10.39,20.58,14.26,,2.05,163.27,0.06,12.26,5.25,,21.97,0.26,3.17,309.65,,,,,4.19
Anguilla,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,2010,56.82,,,37.54,,,109.09,72.07,,,,,,,39.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.06,,62.5,,68.03,,41.52,,,,,,,,,,,,,,
,2011,54.55,,,35.4,,,113.64,73.75,,,,,,,35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.4,,63.37,,67.07,,39.14,,,,,,,,,,,,,,
,2012,54.55,,,34.77,,,118.18,75.34,,,,,,,34.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.65,,63.66,,62.65,,38.2,,,,,,,,,,,,,,
,2013,54.55,,,34.17,,,127.27,79.74,,,,,,,34.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.51,,64.47,,60.38,,38.11,,,,,,,,,,,,,,
,2014,50,,,30.82,,,125,77.06,,,,,,,33.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.71,,63.03,,55.24,,35.45,,,,,,,,,,,,,,
,2015,47.73,,,28.99,,,122.73,74.54,,,,,,,33.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.59,,57.17,,47.83,,32.04,,,,,,,,,,,,,,
,2016,43.18,,,25.9,,,113.64,68.17,,,,,,,34.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.49,,54.77,,44.95,,29.72,,,,,,,,,,,,,,
,2017,43.18,,,25.6,,,111.36,66.03,,,,,,,22.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.35,,55.68,,44.08,,29.59,,,,,,,,,,,,,,
,2018,40.91,,,23.99,,,113.64,66.64,,,,,,,22.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.62,,53.03,,42.22,,27.28,,,,,,,,,,,,,,
,2019,40.91,,,23.75,,,113.64,65.97,,,,,,,22.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.32,,46.48,,42.36,,26.29,,,,,,,,,,,,,,
Argentina,2010,1.44,0,,13.04,0.01,,2.13,19.29,,,,,,,0.6,0.02,0.2,674.73,,,,,0.09,914.47,,,,,0.15,304.73,,290.41,,,7.86,,,,432.59,,415.82,,,7.91,,,,15.32,2.03,8.25,0.01,11.41,1.51,5.46,0.01,,,,,,,706.48,641.59,,,125.83,"22,778,928.00",
,2011,1.47,0,,13.14,0.01,,3.03,27.05,,,,,,,0.59,0.02,0.19,727.23,,,,,0.18,970.46,,,,,0.18,326.28,,311.35,,,6.81,,,,469.89,,452.21,,,6.86,,,,14.82,1.83,7.78,0.01,12.71,1.65,6.08,0.01,,,,,,,776.96,784.26,,,137.98,"24,222,013.00",
,2012,1.5,0,,13.22,0.01,,3.91,34.53,,,,,,,0.58,0.02,0.19,807.35,,,,,0.19,"1,108.11",,,,,0.19,347.83,57.88,332.18,,,7.26,,,,505.15,52.17,466.17,,,7.3,,,,15.96,2.06,7.92,0.01,13.76,2.22,6.74,0.01,,,,,3.8,0.01,904.09,866.41,476.54,3.99,189.03,"28,199,995.00",
,2013,1.52,0,,13.25,0,,4.98,43.34,,,,,,,0.59,0.02,0.19,862.55,,,,,0.02,"1,190.44",,,,,0.02,344.06,67.12,295.79,,,1.57,,,,458.26,75.99,412.42,,,1.57,,,,16.08,2.16,8,0,14.19,2.7,6.95,0,,,,,11.01,0.02,981.92,950.59,703.12,5.62,199.14,"29,030,830.00",
,2014,1.54,0,,13.23,0,,5.31,45.67,,,,,,,0.58,0.02,0.19,908.47,,,,,0.02,"1,268.33",,,,,0.02,355.92,69.59,307,,,1.7,,,,472.18,78.31,425.38,,,1.7,,,,15.48,2.09,7.9,0,12.6,2.29,6.27,0,,,,,28.39,0.05,978.69,"1,140.69",945.83,6.88,204.21,"29,276,450.00",
,2015,1.56,0,,13.26,0,,5.6,47.51,,,,,,,0.57,0.02,0.19,954.59,,,,,0.01,"1,428.74",,,,,0.02,380.52,49.78,354.21,,,1.65,,,,541.45,36.31,505.37,,,1.65,,,,17.58,2.28,9.49,0,13.18,2.49,6.87,0,,,,,60.26,0.11,"1,069.00","1,173.51","1,232.44",8.94,192.3,"29,172,959.00",
,2016,1.61,0,,13.45,0,,6.01,50.35,,,,,,,0.57,0.03,0.23,"1,067.05",,,,,0.02,"1,625.66",,,,,0.02,395.62,63.33,373.24,,,1.44,,,,553.02,86.92,536.71,,,1.44,,,,18.23,2.08,11.78,0,12.46,2.38,6.41,0,,,,,117.4,0.2,"1,139.86","1,258.51","1,613.87",10.83,200.09,"31,223,929.00",
,2017,1.64,0,,13.54,0,,6.42,53.12,,,,,,,0.57,0.03,0.24,"1,148.18",,,,,0.02,"1,811.48",,,,,0.03,395.63,50.4,370.78,,,1.21,,,,561.08,48.1,529.48,,,1.21,,,,18.23,1.87,12.3,0,14.58,2.83,7.49,0,,,,,232.08,0.4,"1,214.30","1,367.37","2,300.56",14.67,215.27,"32,035,694.00",
,2018,1.65,0,,13.49,0,,7.22,58.98,,,,,,,0.56,0.03,0.25,"1,214.37",,,,,0.02,"1,943.37",,,,,0.03,407.36,62.12,379.06,,,1.16,,,,573.09,53.84,535.42,,,1.16,,,,21.81,1.97,13.65,0,14.07,2.57,7.1,0,,,,,408.43,0.62,"1,254.33","1,429.00","3,183.89",14.65,208,"32,958,886.00",
,2019,1.66,0,,13.45,0,,7.52,60.75,,,,,,,0.56,0.03,0.24,"1,180.76",,,,,0,"2,018.12",,,,,0,407.32,65.9,378.05,,,0,,,,560.62,56.56,522.19,,,0,,,,18.45,1.91,10.95,0,11.06,1.7,5.74,0,,,,,684.15,0.91,"1,224.58","1,432.79","4,324.35",17.01,187.86,"37,951,272.00",
Armenia,2010,15.1,,,18.56,,,27.71,34.05,,,,,,,0.47,2.14,2.63,,,,,,,624.19,,574.74,,,,,,,,,,,,,154.53,,145.79,,,,,,,16.34,,10.44,,26,,10.82,,,,,,,,31.83,282.44,,,,"52,414.00",
,2011,16.26,,,19.98,,,35.44,43.54,,,,,,,0.39,2.74,3.37,,,,,,,757.65,,705.24,,,,,,,,,,,,,197.64,,187.47,,,,,,,19.53,,12.97,,32.38,,12.82,,,,,,,,50.7,370.77,,,,"198,992.00",
,2012,17.35,,,21.28,,,41.1,50.4,,,5.9,4.81,,,0.3,4,4.91,,,,,,,903.75,,847.28,,,,,,,,,,,,,249.38,,237.98,,,,,,,21.61,,15.15,,36.37,,13.33,,,23.82,2.32,0,93.71,0.02,73.61,496.2,,,,"406,728.00",40.41
,2013,17.77,,,21.74,,,44.08,53.91,,,10.48,8.57,,,0.34,4.43,5.41,,,,,,,"1,075.98",,"1,015.75",,,,,,,,,,,,,299.25,,287.74,,,,,,,24.42,,17.61,,38.08,,14.89,,,43.13,2.33,0,285.1,0.05,89,582.15,,,,"563,136.00",122.47
,2014,18.62,,,22.71,,,48.72,59.43,,,10.41,8.54,,,0.3,5.23,6.38,,,,,,,"1,299.07",,"1,235.49",,,,,,,,,,,,,376.67,,364.89,,,,,,,26.19,,18.8,,43.42,,17.07,,,107.84,4.66,0,210.94,0.04,104,591.19,,,,"594,893.00",45.23
,2015,19.21,,,23.4,,,49.74,60.56,,,2.48,2.04,,,0.3,6.18,7.53,,,,,,,"1,425.97",,"1,361.14",,,,,,,,,,,,,366.74,,356.1,,,,,,,28.36,,20.26,,40.01,,15.73,,,118.18,6.8,0,302.2,0.06,36.78,702.68,,,,"591,859.00",44.42
,2016,19,,,23.11,,,50.3,61.16,,,10.29,8.47,,,0.3,5.94,7.22,,,,,,,"1,568.38",,"1,499.10",,,,,,,,,,,,,376.33,,366.81,,,,,,,32.85,,23.14,,41.79,,15.66,,,146.99,15.17,0.01,727.2,0.13,68.02,602.61,,,,"633,727.00",47.95
